,loss,mae,mse,val_loss,val_mae,val_mse,epoch
196,871187712.0,16574.33984375,871187712.0,13850818560.0,71125.328125,13850818560.0,196
197,857531392.0,16416.314453125,857531392.0,13010163712.0,69185.421875,13010163712.0,197
198,840988160.0,16265.3515625,840988160.0,12111823872.0,67029.875,12111823872.0,198
199,826968576.0,16152.9169921875,826968576.0,11634653184.0,65714.0546875,11634653184.0,199
200,813271744.0,16019.1513671875,813271744.0,11232809984.0,64535.58203125,11232809984.0,200
201,799377920.0,15875.4833984375,799377920.0,10573602816.0,62812.58203125,10573602816.0,201
202,785232320.0,15739.5361328125,785232320.0,10008828928.0,61273.62890625,10008828928.0,202
203,770944704.0,15595.4296875,770944704.0,9768835072.0,60425.0390625,9768835072.0,203
204,756464128.0,15431.0927734375,756464128.0,9502218240.0,59515.37109375,9502218240.0,204
205,741927104.0,15264.2109375,741927104.0,9023350784.0,58147.08984375,9023350784.0,205
206,727326272.0,15104.2099609375,727326272.0,8674839552.0,57054.6953125,8674839552.0,206
207,714846400.0,14956.3017578125,714846400.0,8608147456.0,56450.91015625,8608147456.0,207
208,701706112.0,14802.1455078125,701706112.0,8149550592.0,54923.9609375,8149550592.0,208
209,687314048.0,14665.9365234375,687314048.0,7289224192.0,52516.05078125,7289224192.0,209
210,674947776.0,14566.5908203125,674947776.0,7043538944.0,51417.7109375,7043538944.0,210
211,662315072.0,14430.1953125,662315072.0,7100426752.0,50958.875,7100426752.0,211
212,649654016.0,14273.3447265625,649654016.0,6585716736.0,49267.2265625,6585716736.0,212
213,636734464.0,14140.3916015625,636734464.0,6041265152.0,47477.4140625,6041265152.0,213
214,624009216.0,14006.7841796875,624009216.0,6013624832.0,46706.46484375,6013624832.0,214
215,612042176.0,13869.08984375,612042176.0,5868016128.0,45658.75,5868016128.0,215
216,600153536.0,13733.3095703125,600153536.0,5294787584.0,43658.1875,5294787584.0,216
217,588074304.0,13614.7958984375,588074304.0,5057702400.0,42396.78515625,5057702400.0,217
218,577425600.0,13491.2080078125,577425600.0,5214607872.0,41878.66796875,5214607872.0,218
219,564949440.0,13338.0703125,564949440.0,4692165632.0,39842.58984375,4692165632.0,219
220,553608832.0,13231.5,553608832.0,4242461952.0,37943.7578125,4242461952.0,220
221,542348736.0,13116.6376953125,542348736.0,4435355648.0,37551.46875,4435355648.0,221
222,532206944.0,12978.5439453125,532206944.0,4436855296.0,36557.66015625,4436855296.0,222
223,520494688.0,12841.72265625,520494688.0,3724296192.0,33923.58984375,3724296192.0,223
224,510372960.0,12766.5859375,510372960.0,3910551040.0,33695.95703125,3910551040.0,224
225,500706944.0,12645.5,500706944.0,4175698176.0,34134.80078125,4175698176.0,225
226,491221984.0,12507.7314453125,491221984.0,3691317504.0,32487.25,3691317504.0,226
227,481599648.0,12413.3515625,481599648.0,3585477888.0,32151.94140625,3585477888.0,227
228,472297600.0,12287.0830078125,472297600.0,4024408320.0,34200.7109375,4024408320.0,228
229,463137792.0,12117.0361328125,463137792.0,3877821184.0,33562.66796875,3877821184.0,229
230,454612704.0,12083.17578125,454612704.0,3305449216.0,31383.58984375,3305449216.0,230
231,446488064.0,12123.17578125,446488064.0,3679329792.0,33494.9609375,3679329792.0,231
232,437547168.0,11964.5537109375,437547168.0,3792895232.0,34796.56640625,3792895232.0,232
233,429426176.0,11848.5947265625,429426176.0,3349322240.0,33484.4921875,3349322240.0,233
234,423010592.0,11845.5517578125,423010592.0,3408674560.0,34557.9296875,3408674560.0,234
235,414567296.0,11731.4755859375,414567296.0,3370266112.0,35195.55859375,3370266112.0,235
236,406840192.0,11640.82421875,406840192.0,2984171008.0,34027.1484375,2984171008.0,236
237,399863904.0,11619.6123046875,399863904.0,3023440640.0,34808.54296875,3023440640.0,237
238,392915488.0,11531.375,392915488.0,3129899264.0,35816.46875,3129899264.0,238
239,386117600.0,11434.7626953125,386117600.0,2846838016.0,34798.68359375,2846838016.0,239
240,379337888.0,11405.3876953125,379337888.0,2816474624.0,34970.23046875,2816474624.0,240
241,372683232.0,11335.7099609375,372683232.0,2973660928.0,36053.45703125,2973660928.0,241
242,366168032.0,11234.7236328125,366168032.0,2782271488.0,35299.15234375,2782271488.0,242
243,359746560.0,11194.7998046875,359746560.0,2704379904.0,35085.91015625,2704379904.0,243
244,353516128.0,11135.8798828125,353516128.0,2858403584.0,36093.50390625,2858403584.0,244
245,347434272.0,11034.8232421875,347434272.0,2732899840.0,35595.55859375,2732899840.0,245
246,341500128.0,10983.2705078125,341500128.0,2633469696.0,35205.81640625,2633469696.0,246
247,335756896.0,10926.6923828125,335756896.0,2766293248.0,36095.078125,2766293248.0,247
248,330148256.0,10825.74609375,330148256.0,2685678336.0,35789.94921875,2685678336.0,248
249,324687840.0,10773.8681640625,324687840.0,2588991488.0,35357.78125,2588991488.0,249
250,319394528.0,10725.9423828125,319394528.0,2705399296.0,36136.56640625,2705399296.0,250
